           I         P    S         B         K         A
0   1.529143  4.390513  1.0  2.861370  0.679440 -0.610884
1   1.315238  0.567375  1.0 -0.747864  0.425440 -0.130709
2   1.285882 -0.024665  0.0 -0.310547  0.590644  0.044714
3   0.907469  3.658119  1.0  2.750650  0.564741  4.180528
4   0.851191 -0.943494  1.0 -1.794685  0.573847 -0.824817
5   1.542757  1.421505  0.0  1.878749  0.653946  1.859498
6  -0.894476  2.819727  1.0  5.714203  0.403868 -1.648839
7   0.730203  2.377767  1.0  2.647563  0.374090  5.826284
8   0.439067 -6.655526  1.0 -7.094593  0.271369  0.723704
9  -2.005098 -2.527826  1.0  0.477272  0.600251  1.220931
10  3.858524  5.468367  0.0  1.609843  0.897285  1.284466
11 -0.376871 -1.778022  1.0  0.598850  0.320238  0.689868
12  1.079389 -2.650309  1.0 -1.729698  0.451194 -1.954642
13  1.214828 -1.232216  0.0 -2.447044  0.691653  2.164174
14  1.003211 -3.461827  0.0 -2.465038  0.586488 -3.700606
15 -0.051375  3.919113  0.0  4.970488  0.850261 -1.885320
16  1.738666  0.909442  1.0 -0.829224  0.873500  0.890359
17  2.586401  4.770595  1.0  2.184194  0.434277  1.763702
18 -0.162524  0.844233  1.0  1.006757  0.489660 -1.347338
19  1.019249  0.543547  1.0 -0.475703  0.737145  0.278454
20  1.200695  3.409253  0.0  2.208558  0.630437  3.662173
21  0.635970 -0.310626  1.0  0.053404  0.662797  1.009088
22  0.866647  3.291850  0.0  3.425202  0.791631  2.381813
23 -1.193955  2.072653  1.0  4.266609  0.707861  5.710112
24  1.110603 -2.437980  0.0 -3.548583  0.666422  5.491886
