           I    P    S         B         K         A
0   2.868669  1.0  1.0 -0.868669  0.777598  1.093640
1   0.497769  1.0  0.0  1.502231  0.517403 -0.404863
2  -0.369876  1.0  1.0  2.369876  0.537657  1.551014
3   0.708262  1.0  1.0  2.291738  0.449007  2.583567
4   0.226573  1.0  1.0  1.773427  0.445037  0.134811
5   0.954094  1.0  1.0  1.045906  0.656898  1.602979
6  -1.165402  1.0  1.0  2.165402  0.390409 -3.771776
7  -0.138001  1.0  1.0  2.138001  0.272687  0.058325
8   0.005708  1.0  0.0  0.994292  0.310471  1.522111
9   0.896623  1.0  1.0  2.103377  0.422659  0.143549
10 -0.700127  1.0  0.0  1.700127  0.924464  0.111415
11  0.628475  1.0  1.0  0.371525  0.613050  0.878569
12 -0.293333  1.0  0.0  1.293333  0.678433 -0.387507
13  1.851642  1.0  0.0 -0.851642  0.923910  0.365323
14  2.635487  1.0  1.0 -0.635487  0.617672  0.923421
15 -0.140073  1.0  1.0  2.140073  0.639000  0.370300
16  0.914610  1.0  0.0  1.085390  0.820679  0.091868
17 -0.185395  1.0  0.0  2.185395  0.561203 -3.434620
18  0.651475  1.0  1.0  0.348525  0.772326  1.219781
19  0.993239  1.0  1.0  0.006761  0.480095  0.990125
20  1.175327  1.0  1.0  1.824673  0.854121 -2.807539
21  1.438173  1.0  1.0  0.561827  0.464464  1.690751
22 -0.449233  1.0  1.0  1.449233  0.709600  0.336031
23 -0.966447  1.0  1.0  2.966447  0.263358  2.979486
24  1.448536  1.0  1.0  0.551464  0.697451  1.724061
