           I         P    S         B    K          A
0   0.346822  5.730214  0.0  5.383392  1.0  -4.210779
1   0.798730 -3.062963  1.0 -3.861693  1.0  -2.721757
2   0.583054  5.693376  0.0  7.110322  1.0  -0.627520
3  -0.237824  1.501979  0.0  2.739803  1.0   3.294842
4   1.350693  3.160514  1.0  1.809821  1.0   1.193230
5   1.643310  0.661736  1.0 -0.981574  1.0   1.550199
6   1.615959  2.148211  0.0  0.532252  1.0  -0.999093
7   1.751156 -0.027521  1.0 -1.778677  1.0   0.728457
8   2.533966  4.517618  0.0  1.983653  1.0  -0.175805
9   0.685580  1.481350  1.0  0.795770  1.0  -0.051965
10  2.288772  6.088541  0.0  4.799769  1.0   0.722836
11  1.719770  0.926254  0.0 -0.793516  1.0   0.730274
12  0.479408  4.399302  1.0  4.919893  1.0   3.935001
13  0.834733  0.726414  1.0 -0.108319  1.0   0.978761
14 -0.018140  2.477359  1.0  3.495498  1.0  -1.853120
15  1.880063  2.486576  1.0  0.606513  1.0   1.460778
16  1.343840  4.364983  1.0  3.021143  1.0   3.729423
17  0.343456  1.018659  1.0  0.675203  1.0   1.393679
18  1.637135  2.370649  0.0  1.733515  1.0   2.911552
19  0.664657  3.331094  1.0  3.666437  1.0   2.364150
20 -0.397167  8.983223  1.0  9.380391  1.0  -7.609464
21  1.782113  1.235376  1.0  0.453263  1.0   1.412416
22  1.661536  8.478215  0.0  6.816679  1.0   1.861040
23  1.275756 -4.081146  0.0 -5.356902  1.0  -9.617031
24  0.949470  3.185573  1.0  3.236103  1.0   0.394353
25  1.674329 -0.248832  1.0 -0.923161  1.0   0.585123
26 -0.082228  1.469910  1.0  1.552138  1.0   3.868246
27  0.824018  0.333182  1.0  1.509164  1.0  -0.374032
28  1.400521 -5.277947  1.0 -6.678467  1.0   3.208824
29 -0.458488 -2.571563  0.0 -2.113074  1.0   1.570586
30  1.724122  5.535192  1.0  3.811070  1.0  -0.611483
31 -0.443571  2.470315  0.0  4.913886  1.0   1.691957
32  0.158239 -2.092644  1.0 -0.250884  1.0   1.090347
33  0.642805  4.302551  1.0  3.659746  1.0   3.001155
34  0.587432  3.771017  1.0  4.183585  1.0   3.119966
35  1.314500  4.322688  0.0  4.008187  1.0  -0.810563
36  3.023864  4.520309  1.0  2.496445  1.0   5.510489
37 -0.470610 -0.690725  1.0  0.779886  1.0   1.083025
38  1.173571 -2.672454  0.0 -3.846025  1.0   3.233321
39  2.968135  8.622425  1.0  5.654290  1.0  11.491141
40  0.100660 -0.928278  1.0 -0.028938  1.0   1.027420
41  0.723948 -3.119813  1.0 -1.843761  1.0  -2.623265
42  2.150855  4.268139  0.0  3.117285  1.0  -0.370565
43 -0.355998  0.790969  1.0  3.146967  1.0  -0.158812
44 -0.138724 -1.914924  1.0 -0.776200  1.0   1.236329
45  1.028467 -7.299935  1.0 -7.328402  1.0   6.028941
46  0.590597  6.841504  1.0  6.250907  1.0  -4.536681
47  1.267038  0.536516  1.0 -0.730522  1.0   1.442849
48  1.179162  0.726898  1.0 -0.452264  1.0   0.077260
49 -0.478087  3.208748  1.0  4.686835  1.0   2.058778
