           I         P    S    B         K         A
0   1.240604  2.309290  1.0  2.0  0.409872 -0.423223
1  -0.015943  5.985938  0.0  2.0  0.445641  1.357241
2   0.070709 -1.731060  1.0  2.0  0.844412 -0.225070
3  -0.208134  4.370677  1.0  2.0  0.620630 -0.336984
4   0.803091  6.118410  1.0  2.0  0.424454  1.019380
5   1.177921  2.322404  0.0  2.0  0.713022  0.429915
6   1.898791 -2.615230  0.0  2.0  0.943527 -2.011799
7  -0.609538  4.760460  1.0  2.0  0.501029  0.111870
8   2.648613  3.520619  0.0  2.0  0.839810  1.836015
9  -0.073555  4.807412  1.0  2.0  0.669246  0.549141
10  0.498787 -0.990877  1.0  2.0  0.479933  1.543223
11  2.170815  2.054249  1.0  2.0  0.828855 -0.268045
12  0.739854  0.262741  1.0  2.0  0.574224  1.582565
13 -1.068041 -0.287301  1.0  2.0  0.558497  1.884066
14 -0.044280  2.876649  0.0  2.0  0.901811  0.187036
15  0.289524 -0.677369  1.0  2.0  0.827941 -2.146587
16 -1.585765  1.360475  0.0  2.0  0.343489 -0.353120
17  0.564032  2.611913  0.0  2.0  0.884924  2.868922
18  1.222299  2.900469  0.0  2.0  0.524804 -1.519739
19 -0.637398 -3.607968  1.0  2.0  0.332087 -1.272347
20  0.093479  4.541514  1.0  2.0  0.616939  2.583014
21 -0.137110 -1.185528  1.0  2.0  0.300365 -2.341083
22  0.068615  9.341146  1.0  2.0  0.744488  3.018910
23  1.009317 -3.455251  1.0  2.0  0.346232 -2.859928
24  0.868262 -0.719332  1.0  2.0  0.725617  3.258732
25  0.991405  2.145114  1.0  2.0  0.322972 -2.381503
26 -0.361660 -1.150852  1.0  2.0  0.948879  3.690721
27  1.139434  5.116371  1.0  2.0  0.695257  1.336062
28 -0.392801  1.677675  1.0  2.0  0.451610  4.991458
29 -0.416922  2.866773  1.0  2.0  0.592452  2.293725
30  0.062795  3.314242  0.0  2.0  0.718866 -1.103913
31  0.601849 -0.489409  1.0  2.0  0.667566  3.000089
32  0.108120 -3.246025  1.0  2.0  0.837321  3.151189
33  0.103325 -1.720779  1.0  2.0  0.214151  1.873245
34  0.091086  3.645196  1.0  2.0  0.453073  3.402132
35  1.716924  6.318075  0.0  2.0  0.793409  0.193331
36  0.949721 -3.362473  0.0  2.0  0.840391 -0.277686
37  0.647486  2.737865  1.0  2.0  0.619667 -0.343084
38 -0.135546 -6.986785  1.0  2.0  0.783747 -0.695422
39  0.541327 -1.091765  0.0  2.0  0.690678  1.313246
40 -0.452969 -0.149912  0.0  2.0  0.672942  1.679586
41 -1.264870  3.264428  0.0  2.0  0.426082  0.487830
42  0.932236  5.619897  0.0  2.0  0.516924 -2.598566
43  1.208236  0.838934  0.0  2.0  0.511523 -1.954975
44  2.911226  4.987119  1.0  2.0  0.965545  1.497380
45  1.148977  1.382590  0.0  2.0  0.482755  1.163381
46  0.910835  4.471031  1.0  2.0  0.422560  0.154769
47  2.736149  0.752728  1.0  2.0  0.793122  1.706695
48  0.926494  1.734967  0.0  2.0  0.695558 -0.694219
49  1.917593  3.066355  1.0  2.0  0.286297  2.285738
