      I         P    S          B         K          A
0  -2.0  1.671425  1.0   5.671425  0.572343   1.945677
1  -2.0  2.437296  0.0   6.437296  0.426079  -3.658920
2  -2.0  5.826585  0.0   8.826585  0.657520   9.000954
3  -2.0 -0.571374  0.0   2.428626  0.281952   4.135731
4  -2.0  7.364859  1.0  11.364859  0.431937   9.106486
5  -2.0 -4.436641  1.0  -2.436641  0.343864  -0.728473
6  -2.0  1.992630  1.0   3.992630  0.761078  -8.504812
7  -2.0  4.498649  0.0   7.498649  0.800122   6.893530
8  -2.0  3.284301  1.0   5.284301  0.250294   3.779238
9  -2.0 -2.825054  0.0  -0.825054  0.780271  -0.297366
10 -2.0  0.646653  0.0   3.646653  0.838828  -1.092186
11 -2.0  2.566647  1.0   5.566647  0.878302   2.234627
12 -2.0  4.501237  0.0   6.501237  0.251437  -0.869119
13 -2.0  0.805293  1.0   2.805293  0.463237   0.771402
14 -2.0  1.788151  1.0   3.788151  0.392619   4.666243
15 -2.0  5.369262  0.0   7.369262  0.290918 -12.183369
16 -2.0  3.676475  1.0   6.676475  0.373253   2.695033
17 -2.0  2.601679  1.0   4.601679  0.884874   1.349072
18 -2.0  2.159305  1.0   5.159305  0.792384  -1.116517
19 -2.0 -2.339440  1.0  -0.339440  0.737819   1.315003
20 -2.0  2.878464  1.0   4.878464  0.509385   3.233662
21 -2.0  0.971409  1.0   3.971409  0.800005   4.854235
22 -2.0  1.648915  0.0   3.648915  0.502072  -0.666347
23 -2.0  3.566397  1.0   6.566397  0.290770  -7.213857
24 -2.0 -1.170890  1.0   0.829110  0.533215  -0.503949
25 -2.0  0.171936  0.0   2.171936  0.812267  -1.480418
26 -2.0  4.706063  0.0   6.706063  0.729444   0.791929
27 -2.0  4.732560  1.0   7.732560  0.318064  -5.362234
28 -2.0  0.901767  1.0   3.901767  0.063856   1.894812
29 -2.0  2.999201  0.0   5.999201  0.671119  16.530688
30 -2.0 -2.084968  0.0   0.915032  0.613714   0.359097
31 -2.0  4.655276  0.0   6.655276  0.467934   3.718047
32 -2.0 -4.359737  0.0  -2.359737  0.579329   3.116245
33 -2.0  4.114724  1.0   7.114724  0.348354  10.830015
34 -2.0  3.186897  1.0   5.186897  0.589510  -3.183333
35 -2.0  2.887522  0.0   5.887522  0.650783   2.563642
36 -2.0  2.585423  1.0   4.585423  0.586636  -4.371207
37 -2.0  2.812096  0.0   5.812096  0.879336   1.409726
38 -2.0 -0.468657  0.0   1.531343  0.051855  -0.442160
39 -2.0  5.182475  1.0   9.182475  0.847844  -3.681029
40 -2.0  2.872953  0.0   5.872953  0.817765  -7.515678
41 -2.0 -0.893271  1.0   2.106729  0.441325   1.543372
42 -2.0 -0.319926  1.0   1.680074  0.615810   2.942181
43 -2.0 -3.791309  1.0  -1.791309  0.627383   5.707681
44 -2.0  2.837473  0.0   4.837473  0.526826  -6.789286
45 -2.0  4.603934  1.0   6.603934  0.682666  -0.307990
46 -2.0  3.410507  0.0   5.410507  0.526092  -1.805459
47 -2.0  5.402690  1.0   8.402690  0.648955  10.533669
48 -2.0  0.805206  1.0   2.805206  0.854429   2.411062
49 -2.0  2.777910  1.0   4.777910  0.497400   0.982610
