      I    P    S    B         K         A
0   2.0 -2.0  1.0 -2.0  0.546976  0.769289
1   2.0 -2.0  0.0 -2.0  0.792048  0.428302
2   2.0 -2.0  1.0 -2.0  0.946307  2.084727
3   2.0 -2.0  0.0 -2.0  0.340705  1.421049
4   2.0 -2.0  1.0 -2.0  0.294767  1.310394
5   2.0 -2.0  0.0 -2.0  0.844543 -0.102164
6   2.0 -2.0  1.0 -2.0  0.751119  0.016398
7   2.0 -2.0  1.0 -2.0  0.803620  2.184813
8   2.0 -2.0  1.0 -2.0  0.480933 -0.238026
9   2.0 -2.0  1.0 -2.0  0.731557  1.021809
10  2.0 -2.0  1.0 -2.0  0.350342  3.729462
11  2.0 -2.0  1.0 -2.0  0.337149  2.040232
12  2.0 -2.0  1.0 -2.0  0.399549 -1.217818
13  2.0 -2.0  1.0 -2.0  0.135725  5.274406
14  2.0 -2.0  1.0 -2.0  0.353981 -0.705198
15  2.0 -2.0  1.0 -2.0  0.822827 -0.237763
16  2.0 -2.0  0.0 -2.0  0.728933  0.697328
17  2.0 -2.0  0.0 -2.0  0.369150  2.396300
18  2.0 -2.0  1.0 -2.0  0.851329  0.877411
19  2.0 -2.0  1.0 -2.0  0.579693  3.122331
20  2.0 -2.0  0.0 -2.0  0.755836  0.184051
21  2.0 -2.0  1.0 -2.0  0.367322 -1.180993
22  2.0 -2.0  1.0 -2.0  0.536329 -1.646001
23  2.0 -2.0  1.0 -2.0  0.314640  1.807802
24  2.0 -2.0  1.0 -2.0  0.530353 -1.609841
25  2.0 -2.0  1.0 -2.0  0.560736  0.095952
26  2.0 -2.0  1.0 -2.0  0.168741  1.420504
27  2.0 -2.0  1.0 -2.0  0.564941  0.898846
28  2.0 -2.0  1.0 -2.0  0.638798  2.112572
29  2.0 -2.0  1.0 -2.0  0.771315  0.296535
30  2.0 -2.0  0.0 -2.0  0.313558  0.339194
31  2.0 -2.0  0.0 -2.0  0.719437 -0.711359
32  2.0 -2.0  1.0 -2.0  0.810891  2.504131
33  2.0 -2.0  0.0 -2.0  0.389260  0.910945
34  2.0 -2.0  1.0 -2.0  0.173061 -0.856326
35  2.0 -2.0  0.0 -2.0  0.955019 -0.153575
36  2.0 -2.0  0.0 -2.0  0.494118 -0.026733
37  2.0 -2.0  1.0 -2.0  0.484192 -0.551540
38  2.0 -2.0  1.0 -2.0  0.412084  4.218935
39  2.0 -2.0  1.0 -2.0  0.766105 -0.254772
40  2.0 -2.0  1.0 -2.0  0.376267  3.544558
41  2.0 -2.0  0.0 -2.0  0.900142  1.960312
42  2.0 -2.0  1.0 -2.0  0.727310 -1.727295
43  2.0 -2.0  0.0 -2.0  0.791656 -1.311275
44  2.0 -2.0  0.0 -2.0  0.476806  2.352018
45  2.0 -2.0  0.0 -2.0  0.752045  0.398378
46  2.0 -2.0  1.0 -2.0  0.446925 -1.223388
47  2.0 -2.0  0.0 -2.0  0.116618  0.594114
48  2.0 -2.0  1.0 -2.0  0.686933  1.373837
49  2.0 -2.0  0.0 -2.0  0.208942 -0.101930
