           I         P    S         B         K    A
0  -0.622216  6.060763  1.0  6.682979  0.849030 -2.0
1  -0.724501 -3.633127  1.0 -1.908627  0.909008 -2.0
2   0.441256 -1.094915  0.0 -1.536171  0.851623 -2.0
3  -0.901684 -1.541522  1.0  1.360162  0.938265 -2.0
4   0.087184  1.836502  0.0  2.749318  0.326459 -2.0
5   0.893569  4.704558  1.0  3.810989  0.593373 -2.0
6   0.645496  1.633492  0.0  0.987996  0.598102 -2.0
7  -0.462479  5.340642  1.0  5.803121  0.391306 -2.0
8  -1.511879 -2.715618  1.0 -1.203739  0.839928 -2.0
9   0.583296  0.997039  1.0  0.413743  0.803758 -2.0
10  2.120166  1.754460  1.0 -0.365706  0.518823 -2.0
11 -0.704360  4.545486  1.0  7.249846  0.157865 -2.0
12 -0.029888  1.031977  0.0  3.061865  0.817267 -2.0
13  1.043603  3.580678  0.0  4.537075  0.834072 -2.0
14  0.482831 -1.716201  1.0 -0.199031  0.925685 -2.0
15  0.765740  5.417102  1.0  5.651362  0.539219 -2.0
16  2.884895  3.497169  1.0  0.612274  0.642646 -2.0
17  0.169717  1.794863  0.0  2.625145  0.735992 -2.0
18  0.878419  6.794847  1.0  5.916428  0.772403 -2.0
19  0.234491  3.215087  0.0  2.980596  0.570943 -2.0
20  1.136780 -0.017981  1.0 -1.154762  0.656470 -2.0
21  0.309688  2.179858  0.0  2.870170  0.594507 -2.0
22 -0.370023  3.699392  1.0  4.069415  0.606769 -2.0
23  0.018633  1.114357  1.0  1.095724  0.340476 -2.0
24  0.356024  3.619316  1.0  4.263292  0.411766 -2.0
25  0.546465  0.228905  1.0 -0.317560  0.307885 -2.0
26  0.799909 -2.657746  1.0 -2.457655  0.950684 -2.0
27  1.045923  2.454782  1.0  1.408859  0.456780 -2.0
28  1.061790  6.674211  1.0  6.612421  0.694125 -2.0
29 -0.195908  8.018863  1.0  8.214771  0.767410 -2.0
30 -0.737009  2.753675  1.0  3.490684  0.861036 -2.0
31  0.942511  2.984761  1.0  2.042250  0.437718 -2.0
32  0.728449 -0.862956  1.0 -1.591404  0.429986 -2.0
33  0.525421  2.614872  1.0  4.089451  0.292266 -2.0
34  0.500541  3.832428  0.0  3.331887  0.736581 -2.0
35  1.417064  1.729875  0.0  1.312811  0.549483 -2.0
36  1.425347  1.259601  1.0  1.834254  0.901407 -2.0
37  0.252682  6.169911  1.0  6.917229  0.723259 -2.0
38  0.642997  4.425107  1.0  5.782109  0.509455 -2.0
39  0.504225 -2.185475  0.0 -2.689699  0.614510 -2.0
40  0.686253 -0.355408  1.0 -1.041661  0.119383 -2.0
41  3.564238  7.877152  1.0  4.312914  0.857720 -2.0
42  2.094993 -1.658990  0.0 -3.753983  0.834293 -2.0
43  0.355163 -1.660998  0.0 -1.016160  0.619644 -2.0
44 -1.027102  0.027940  0.0  1.055042  0.764696 -2.0
45  0.371867  1.231586  1.0  1.859719  0.882830 -2.0
46  0.645106  3.874506  0.0  4.229400  0.807017 -2.0
47  0.170355 -1.162334  0.0 -0.332689  0.698039 -2.0
48 -1.210361  3.157367  0.0  6.367728  0.320943 -2.0
49  0.640513  4.629796  0.0  4.989283  0.540435 -2.0
