           I          P    S          B         K          A
0   1.637210   2.655397  1.0   1.018187  0.707217   1.641689
1  -0.019398   5.040116  1.0   5.059514  0.533934   2.416632
2   0.318451  -2.301556  1.0  -2.620007  0.616083   2.523168
3   0.538307   2.437180  1.0   3.898873  0.806977   2.348865
4  -0.208154   1.187435  1.0   2.395589  0.190704   0.250763
5   1.723700   3.065954  1.0   1.342254  0.759978  -0.668734
6   1.724242   4.201262  1.0   2.477019  0.804943   1.421212
7   0.460474   1.455422  1.0   1.994948  0.520450   1.067268
8   1.888993   1.535193  1.0  -0.353801  0.707017   1.047852
9   1.146519  -3.216459  1.0  -4.362978  0.489822  -4.168071
10  0.352099  -1.634230  1.0  -1.986329  0.324344   3.036533
11 -0.308821  -2.489092  1.0  -2.180271  0.268510   1.209381
12  0.871703  -4.101093  1.0  -3.972796  0.992969  11.143691
13  1.390540  -0.814933  1.0  -2.205473  0.616182   0.525803
14  0.034816   3.229340  1.0   3.194524  0.334048   0.414204
15  0.910778   5.388344  1.0   4.477566  0.881138  -3.991344
16 -0.286405   2.355505  1.0   3.641910  0.691260   0.607085
17  2.431686   5.547503  1.0   3.115817  0.887593   3.664019
18  0.936522   3.240871  1.0   2.304349  0.492106  -0.599839
19 -0.108036  -2.246732  1.0  -2.138696  0.839835   2.511394
20  1.381125   3.656427  1.0   3.275301  0.772531   9.362901
21 -0.250754   0.721746  1.0   1.972500  0.465036  -0.848871
22  0.014381   4.950344  1.0   4.935963  0.827841  -7.001413
23  1.274928   2.925017  1.0   2.650088  0.887627  -0.774512
24  1.485037   2.232756  1.0   2.747719  0.886248   2.893931
25  1.132852  -2.264133  1.0  -3.396985  0.548372  -0.881855
26  1.474949   3.745929  1.0   3.270980  0.433934  -3.656636
27  1.039566   3.613187  1.0   4.573621  0.570238  -1.960581
28  1.370012   0.606975  1.0   0.236963  0.950173   0.853726
29  1.620036   0.704886  1.0   0.084849  0.644064   1.086757
30  1.094318   2.146984  1.0   2.052667  0.782963   4.442951
31  0.789517   8.263558  1.0   7.474041  0.334146   6.416304
32  1.659962   5.985695  1.0   5.325733  0.492058  -0.415335
33  1.076381   1.484602  1.0   0.408222  0.713758   1.236428
34  0.441189   3.171360  1.0   2.730170  0.621040  -2.166717
35  2.503729   7.678824  1.0   5.175095  0.680416  -5.386188
36  0.282065   4.549305  1.0   4.267240  0.784609  -1.955950
37  0.786127   2.799252  1.0   3.013125  0.341781  -0.018174
38 -0.533100  -0.404539  1.0   2.128561  0.554845  -0.594204
39  0.370747   3.397841  1.0   4.027095  0.654403   0.320455
40  0.732161   5.073268  1.0   4.341107  0.372143  -8.358726
41  1.895829   7.126630  1.0   6.230800  0.501074  -2.859759
42 -0.796549   1.518356  1.0   2.314904  0.470515   3.827230
43 -0.388022   2.088643  1.0   3.476665  0.470151   6.100642
44 -0.572916   6.767530  1.0   7.340446  0.321106  -0.281693
45  0.859754   2.173016  1.0   2.313262  0.755532  -0.541371
46  0.878614  10.014669  1.0  10.136055  0.681923  -7.707296
47  1.839448   3.710921  1.0   3.871473  0.430982   0.121371
48  0.560783   2.293452  1.0   1.732669  0.819502  -0.713614
49  1.115655   0.004796  1.0   0.889142  0.486736   1.216255
