           I         P    S    B         K    A
0   0.190592 -0.557165  0.0  0.0  0.669918  0.0
1   0.712671  5.671990  0.0  0.0  0.579712  0.0
2   1.060753  3.920928  1.0  0.0  0.256550  1.0
3   1.272912  7.096807  1.0  0.0  0.526826  1.0
4   0.408922  1.750103  1.0  0.0  0.935763  1.0
5   2.070655  0.013982  0.0  0.0  0.440030  0.0
6   0.241703 -1.090974  0.0  0.0  0.599262  0.0
7   1.707887  5.308348  1.0  0.0  0.496382  1.0
8  -0.081082 -0.396194  1.0  0.0  0.515066  1.0
9   0.375237  2.922038  1.0  0.0  0.403490  1.0
10  0.005947  5.361091  1.0  0.0  0.712342  1.0
11  0.848735  5.695054  0.0  0.0  0.646707  0.0
12  1.940559  2.211353  1.0  0.0  0.742403  1.0
13  2.178848  0.785297  1.0  0.0  0.278831  1.0
14  0.999478  1.947586  0.0  0.0  0.278773  0.0
15  0.396452 -2.648774  1.0  0.0  0.871339  1.0
16  2.367675 -3.328665  0.0  0.0  0.700002  0.0
17  1.346839  3.994190  1.0  0.0  0.496749  1.0
18  1.703186  6.327731  1.0  0.0  0.402335  1.0
19  1.217951  1.139245  0.0  0.0  0.674336  0.0
20  0.739695  3.312995  0.0  0.0  0.508366  0.0
21  2.235313  2.668264  1.0  0.0  0.828631  1.0
22  0.099141  5.049909  1.0  0.0  0.575769  1.0
23  1.691838 -0.239648  0.0  0.0  0.579832  0.0
24 -0.195496 -1.751297  1.0  0.0  0.768054  1.0
25  0.189039 -1.807105  0.0  0.0  0.711551  0.0
26 -0.135977  1.038458  1.0  0.0  0.654135  1.0
27  0.879697  0.362513  0.0  0.0  0.537776  0.0
28  0.509554  0.721901  0.0  0.0  0.338427  0.0
29  1.768278 -2.873811  0.0  0.0  0.534443  0.0
30  0.133751  2.334945  1.0  0.0  0.756179  1.0
31  0.755044  4.270066  1.0  0.0  0.935473  1.0
32 -1.798519 -4.176444  1.0  0.0  0.680351  1.0
33  2.475329  4.989533  0.0  0.0  0.739760  0.0
34  1.317375  0.137351  1.0  0.0  0.584349  1.0
35  0.865036  0.391912  0.0  0.0  0.592322  0.0
36  0.444690 -0.451731  1.0  0.0  0.524981  1.0
37 -0.790984  2.282987  0.0  0.0  0.474210  0.0
38  0.479305  7.818403  0.0  0.0  0.713924  0.0
39  0.666629  3.619330  1.0  0.0  0.740192  1.0
40 -0.629282 -5.080284  1.0  0.0  0.761549  1.0
41  1.373058  1.384756  1.0  0.0  0.294426  1.0
42 -0.853585  0.032962  1.0  0.0  0.552714  1.0
43 -1.661080  2.750249  0.0  0.0  0.306997  0.0
44  1.279345  0.623113  1.0  0.0  0.775772  1.0
45  1.066023  3.997217  1.0  0.0  0.934720  1.0
46  0.428340 -0.913790  0.0  0.0  0.739417  0.0
47 -0.839421  2.044152  0.0  0.0  0.642746  0.0
48  1.539315  3.619084  1.0  0.0  0.750391  1.0
49  2.094537  6.298006  1.0  0.0  0.586940  1.0
