       Q         R         S         T
0    0.0 -4.829396 -4.742038  1.087358
1    0.0 -2.583677 -3.700506 -0.116829
2    0.0 -0.284036 -0.546099 -0.262063
3    1.0  0.200994  1.332205  1.131210
4    0.0 -0.341806 -2.431355 -2.089549
5    0.0 -1.456799 -0.654149  2.802650
6    0.0 -3.820546 -2.443329  1.377216
7    0.0 -3.284951 -2.059276  1.225676
8    0.0  1.015989 -1.055963 -2.071952
9    0.0 -2.207645 -2.297982  0.909662
10   0.0  0.655300  2.269157  2.613857
11   0.0 -1.051620 -0.534194  2.517426
12   0.0 -1.887723 -1.591664  0.296059
13   1.0 -2.152118  0.114710  3.266827
14   1.0 -0.421149  0.138381  0.559530
15   0.0 -0.357887  0.142312  1.500199
16   0.0 -2.425163 -0.951740  2.473424
17   0.0 -1.918170  0.269376  4.187545
18   0.0 -1.935981 -1.529981  1.406000
19   0.0  0.829520  1.162222  0.332702
20   0.0 -3.264954 -2.230626  1.034328
21   0.0 -3.525935 -3.071007  2.454928
22   1.0 -1.338307  0.050654  3.388961
23   0.0 -1.571486  0.979804  3.551290
24   0.0 -0.757576  1.480200  4.237776
25   0.0 -0.835574 -0.105721  0.729853
26   0.0 -1.985991 -2.307407  0.678584
27   0.0 -1.664673 -0.077162  3.587511
28   0.0  0.232223  2.761999  2.529776
29   0.0 -0.844696  2.548855  3.393551
30   0.0 -2.676808 -2.203805  0.473003
31   0.0 -3.372016 -1.974271  2.397745
32   1.0 -1.446812 -1.597706  1.849106
33   0.0 -2.009687  0.448758  2.458445
34   0.0 -3.266156 -2.252054  1.014101
35   1.0  1.615405  2.413704  2.798299
36   1.0  0.353773  2.414844  2.061071
37   0.0 -1.007619  0.569693  2.577312
38   0.0  2.412403  2.278916  0.866513
39   0.0  0.161020  2.467104  2.306084
40   0.0  0.377937  2.623798  3.245861
41   1.0 -1.667882 -0.744975  1.922907
42   0.0 -0.664977 -0.068646  1.596331
43   0.0 -0.325143  0.092430  0.417573
44   0.0 -3.089053 -1.774074  1.314979
45   0.0 -3.673747 -1.566602  2.107146
46   1.0 -1.399839  2.881822  6.281660
47   0.0 -2.554324 -1.460562  1.093763
48   0.0 -1.154520 -2.761151 -1.606631
49   0.0 -2.574267 -1.692612  0.881655
50   1.0 -1.771376  1.174347  3.945723
51   0.0 -1.947078  0.048847  1.995925
52   0.0 -2.924019 -2.947998  0.976021
53   0.0 -2.316970 -3.676041 -1.359071
54   0.0 -1.507027 -1.314147  1.192880
55   0.0  1.222861  0.815243  0.592382
56   1.0  1.666399  3.680322  2.013923
57   0.0 -1.079250 -0.621839  1.457411
58   0.0 -0.920886 -3.483761 -2.562875
59   0.0 -2.155997 -2.943139  1.212858
60   0.0 -3.721454 -4.886548 -1.165094
61   0.0 -1.727077  0.099310  2.826387
62   0.0 -0.171974  1.142393  1.314367
63   0.0 -0.978946  0.304950  1.283896
64   0.0 -0.572254 -0.775819 -0.203565
65   0.0 -1.598325 -0.954563  0.643761
66   0.0 -1.165565 -2.896231 -0.730666
67   0.0  0.505667  2.230201  1.724534
68   0.0 -1.254633  0.995994  2.250627
69   0.0 -0.617125 -2.070936  0.546189
70   1.0 -1.145710  1.315500  2.461210
71   0.0 -3.283764 -1.516293  2.767471
72   0.0 -1.000204 -1.375466  1.624738
73   0.0 -3.561906 -3.409778  0.152129
74   1.0 -0.390086  0.629793  1.019879
75   1.0 -1.691308 -2.113553 -0.422246
76   0.0  1.560484  1.069089  1.508605
77   1.0 -2.996706 -1.866038  1.130668
78   0.0 -0.794377 -0.010509  1.783869
79   1.0 -3.541835 -2.485510  3.056324
80   0.0 -3.738380 -5.018968 -0.280588
81   0.0  0.263457  1.088142  0.824684
82   0.0 -1.839078 -2.372509  0.466569
83   0.0  1.576533  1.584381  0.007849
84   0.0  0.113630  2.003008  1.889378
85   0.0 -0.414459  1.127102  2.541561
86   1.0 -1.396552 -0.344722  2.051830
87   0.0  0.511847  1.205896  0.694049
88   0.0 -0.883371  0.608223  1.491594
89   0.0 -1.502996  1.018559  3.521555
90   0.0 -0.464236 -2.656544 -2.192308
91   0.0 -2.716390 -0.967718  2.748672
92   0.0 -1.218635 -0.373341  0.845293
93   0.0  0.203453  1.301349  1.097896
94   0.0 -0.672593 -1.201967  0.470625
95   0.0 -4.685921 -3.187453  1.498468
96   0.0  0.215177  2.535276  3.320098
97   0.0 -2.439173 -1.555717  1.883456
98   0.0  0.029430  0.541416  0.511985
99   0.0  0.329980  0.037176  0.707196
100  1.0 -2.004382  0.985054  2.989437
