Name,Continent
"Afghanistan, Islamic Republic of",AS
"Albania, Republic of",EU
Antarctica (the territory South of 60 deg S),AN
"Algeria, People's Democratic Republic of",AF
American Samoa,OC
"Andorra, Principality of",EU
"Angola, Republic of",AF
Antigua and Barbuda,NA
"Azerbaijan, Republic of",EU
"Azerbaijan, Republic of",AS
"Argentina, Argentine Republic",SA
"Australia, Commonwealth of",OC
"Austria, Republic of",EU
"Bahamas, Commonwealth of the",NA
"Bahrain, Kingdom of",AS
"Bangladesh, People's Republic of",AS
"Armenia, Republic of",EU
"Armenia, Republic of",AS
Barbados,NA
"Belgium, Kingdom of",EU
Bermuda,NA
"Bhutan, Kingdom of",AS
"Bolivia, Republic of",SA
Bosnia and Herzegovina,EU
"Botswana, Republic of",AF
Bouvet Island (Bouvetoya),AN
"Brazil, Federative Republic of",SA
Belize,NA
British Indian Ocean Territory (Chagos Archipelago),AS
Solomon Islands,OC
British Virgin Islands,NA
Brunei Darussalam,AS
"Bulgaria, Republic of",EU
"Myanmar, Union of",AS
"Burundi, Republic of",AF
"Belarus, Republic of",EU
"Cambodia, Kingdom of",AS
"Cameroon, Republic of",AF
Canada,NA
"Cape Verde, Republic of",AF
Cayman Islands,NA
Central African Republic,AF
"Sri Lanka, Democratic Socialist Republic of",AS
"Chad, Republic of",AF
"Chile, Republic of",SA
"China, People's Republic of",AS
Taiwan,AS
Christmas Island,AS
Cocos (Keeling) Islands,AS
"Colombia, Republic of",SA
"Comoros, Union of the",AF
Mayotte,AF
"Congo, Republic of the",AF
"Congo, Democratic Republic of the",AF
Cook Islands,OC
"Costa Rica, Republic of",NA
"Croatia, Republic of",EU
"Cuba, Republic of",NA
"Cyprus, Republic of",EU
"Cyprus, Republic of",AS
Czech Republic,EU
"Benin, Republic of",AF
"Denmark, Kingdom of",EU
"Dominica, Commonwealth of",NA
Dominican Republic,NA
"Ecuador, Republic of",SA
"El Salvador, Republic of",NA
"Equatorial Guinea, Republic of",AF
"Ethiopia, Federal Democratic Republic of",AF
"Eritrea, State of",AF
"Estonia, Republic of",EU
Faroe Islands,EU
Falkland Islands (Malvinas),SA
South Georgia and the South Sandwich Islands,AN
"Fiji, Republic of the Fiji Islands",OC
"Finland, Republic of",EU
Åland Islands,EU
"France, French Republic",EU
French Guiana,SA
French Polynesia,OC
French Southern Territories,AN
"Djibouti, Republic of",AF
"Gabon, Gabonese Republic",AF
Georgia,EU
Georgia,AS
"Gambia, Republic of the",AF
"Palestinian Territory, Occupied",AS
"Germany, Federal Republic of",EU
"Ghana, Republic of",AF
Gibraltar,EU
"Kiribati, Republic of",OC
"Greece, Hellenic Republic",EU
Greenland,NA
Grenada,NA
Guadeloupe,NA
Guam,OC
"Guatemala, Republic of",NA
"Guinea, Republic of",AF
"Guyana, Co-operative Republic of",SA
"Haiti, Republic of",NA
Heard Island and McDonald Islands,AN
Holy See (Vatican City State),EU
"Honduras, Republic of",NA
"Hong Kong, Special Administrative Region of China",AS
"Hungary, Republic of",EU
"Iceland, Republic of",EU
"India, Republic of",AS
"Indonesia, Republic of",AS
"Iran, Islamic Republic of",AS
"Iraq, Republic of",AS
Ireland,EU
"Israel, State of",AS
"Italy, Italian Republic",EU
"Cote d'Ivoire, Republic of",AF
Jamaica,NA
Japan,AS
"Kazakhstan, Republic of",EU
"Kazakhstan, Republic of",AS
"Jordan, Hashemite Kingdom of",AS
"Kenya, Republic of",AF
