,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,81171,78,3277.0,7.0,73159.0,4735,1573.0,56.0
1,Italy,63927,0,6077.0,0.0,7432.0,50418,3204.0,1057.0
2,USA,46145,2411,582.0,29.0,295.0,45268,1040.0,139.0
3,Spain,35136,0,2311.0,0.0,3355.0,29470,2355.0,751.0
4,Germany,29056,0,123.0,0.0,453.0,28480,23.0,347.0
5,Iran,23049,0,1812.0,0.0,8376.0,12861,0.0,274.0
6,France,19856,0,860.0,0.0,2200.0,16796,2082.0,304.0
7,S. Korea,9037,76,120.0,9.0,3507.0,5410,59.0,176.0
8,Switzerland,8795,0,120.0,0.0,131.0,8544,141.0,1016.0
9,UK,6650,0,335.0,0.0,135.0,6180,20.0,98.0
10,Netherlands,4749,0,213.0,0.0,2.0,4534,435.0,277.0
11,Austria,4474,0,21.0,0.0,9.0,4444,14.0,497.0
12,Belgium,3743,0,88.0,0.0,401.0,3254,322.0,323.0
13,Norway,2625,0,10.0,0.0,6.0,2609,41.0,484.0
14,Canada,2091,0,24.0,0.0,320.0,1747,1.0,55.0
15,Portugal,2060,0,23.0,0.0,14.0,2023,47.0,202.0
16,Sweden,2046,0,27.0,0.0,16.0,2003,104.0,203.0
17,Australia,1973,86,8.0,1.0,118.0,1847,11.0,77.0
18,Brazil,1924,0,34.0,0.0,2.0,1888,18.0,9.0
19,Turkey,1529,0,37.0,0.0,0.0,1492,0.0,18.0
20,Malaysia,1518,0,14.0,0.0,159.0,1345,57.0,47.0
21,Denmark,1460,0,24.0,0.0,1.0,1435,55.0,252.0
22,Israel,1442,0,1.0,0.0,41.0,1400,29.0,167.0
23,Czechia,1236,0,1.0,0.0,7.0,1228,19.0,115.0
24,Japan,1128,0,42.0,0.0,235.0,851,49.0,9.0
25,Ireland,1125,0,6.0,0.0,5.0,1114,29.0,228.0
26,Ecuador,981,0,18.0,0.0,3.0,960,2.0,56.0
27,Luxembourg,875,0,8.0,0.0,6.0,861,3.0,1398.0
28,Pakistan,875,0,6.0,0.0,13.0,856,0.0,4.0
29,Thailand,827,106,4.0,3.0,52.0,771,7.0,12.0
30,Poland,749,0,8.0,0.0,13.0,728,3.0,20.0
31,Chile,746,0,2.0,0.0,11.0,733,7.0,39.0
32,Diamond Princess,712,0,8.0,0.0,567.0,137,15.0,0.0
33,Finland,700,0,1.0,0.0,10.0,689,13.0,126.0
34,Greece,695,0,17.0,0.0,29.0,649,35.0,67.0
35,Iceland,588,0,1.0,0.0,51.0,536,14.0,1723.0
36,Indonesia,579,0,49.0,0.0,30.0,500,0.0,2.0
37,Romania,576,0,7.0,0.0,73.0,496,15.0,30.0
38,Saudi Arabia,562,0,0.0,0.0,19.0,543,0.0,16.0
39,Singapore,509,0,2.0,0.0,152.0,355,14.0,87.0
40,India,508,9,10.0,0.0,37.0,461,0.0,0.4
41,Philippines,501,39,33.0,0.0,19.0,449,1.0,5.0
42,Qatar,501,0,0.0,0.0,33.0,468,6.0,174.0
43,Slovenia,442,0,3.0,0.0,0.0,439,12.0,213.0
44,Russia,438,0,1.0,0.0,17.0,420,0.0,3.0
45,South Africa,402,0,0.0,0.0,4.0,398,0.0,7.0
46,Peru,395,0,5.0,0.0,1.0,389,19.0,12.0
47,Bahrain,377,0,2.0,0.0,164.0,211,3.0,222.0
48,Mexico,367,51,4.0,1.0,4.0,359,1.0,3.0
49,Egypt,366,0,19.0,0.0,68.0,279,0.0,4.0
50,Hong Kong,357,0,4.0,0.0,100.0,253,4.0,48.0
51,Estonia,352,0,0.0,0.0,4.0,348,4.0,265.0
52,Panama,345,0,6.0,0.0,1.0,338,33.0,80.0
53,Croatia,315,0,1.0,0.0,5.0,309,5.0,77.0
54,Colombia,306,29,3.0,0.0,6.0,297,0.0,6.0
55,Argentina,301,0,4.0,0.0,51.0,246,0.0,7.0
56,Lebanon,267,0,4.0,0.0,8.0,255,4.0,39.0
57,Iraq,266,0,23.0,0.0,62.0,181,0.0,7.0
58,Serbia,249,0,3.0,0.0,3.0,243,12.0,28.0
59,Dominican Republic,245,0,3.0,0.0,3.0,239,0.0,23.0
60,Armenia,235,0,0.0,0.0,2.0,233,6.0,79.0
61,Algeria,230,0,17.0,0.0,65.0,148,0.0,5.0
62,Bulgaria,201,0,3.0,0.0,3.0,195,8.0,29.0
63,UAE,198,0,2.0,0.0,41.0,155,2.0,20.0
64,Taiwan,195,0,2.0,0.0,28.0,165,0.0,8.0
65,Kuwait,189,0,0.0,0.0,30.0,159,5.0,44.0
66,San Marino,187,0,20.0,0.0,4.0,163,13.0,5511.0
67,Slovakia,186,0,0.0,0.0,7.0,179,2.0,34.0
68,Latvia,180,0,0.0,0.0,1.0,179,0.0,95.0
69,Lithuania,179,0,1.0,0.0,1.0,177,1.0,66.0
70,Hungary,167,0,8.0,0.0,21.0,138,6.0,17.0
71,Uruguay,162,0,0.0,0.0,0.0,162,3.0,47.0
72,Costa Rica,158,0,2.0,0.0,2.0,154,2.0,31.0
73,New Zealand,155,53,0.0,0.0,12.0,143,0.0,32.0
74,Morocco,143,0,4.0,0.0,5.0,134,1.0,4.0
75,North Macedonia,136,0,2.0,0.0,1.0,133,1.0,65.0
76,Bosnia and Herzegovina,136,0,1.0,0.0,2.0,133,1.0,41.0
