Name,Density
 Macau,20550
 Monaco,18960
 Singapore,7894
 Hong Kong,6782
 Gibraltar (UK)[note 1],4956
  Vatican City,2273
 Bahrain,1983
 Malta,1510
 Maldives,1258
 Bermuda (UK),1227
 Sint Maarten (Kingdom of the Netherlands),1221
 Bangladesh,1169
 Jersey (Crown dependency),898
 Palestine,827
 Guernsey (Crown dependency),804
 Mayotte (France),686
 Lebanon,672
 Barbados,668
Saint Martin (France),660
 Taiwan,652
 Mauritius,620
 Aruba (Kingdom of the Netherlands),624
 San Marino,568
 Nauru,533
S. Korea,517
 Rwanda,470
 Comoros,469
 Saint Barthelemy (France),449
 Netherlands,420
 Haiti,416
 Israel,416
 India,414
 Burundi,403
 Tuvalu,396
 Belgium,376
 Philippines,361
 Curaçao (Kingdom of the Netherlands),357
 Puerto Rico (US),351
 Reunion (France),340
 Japan,333
 Sri Lanka,332
 Martinique (France),329
 Guam (US),324
 El Salvador,319
 Grenada,316
 Marshall Islands,309
 United States Virgin Islands (US),298
 Saint Lucia,292
 American Samoa (US),290
 Vietnam,290
 Saint Vincent and the Grenadines,284
UK,274
 Pakistan,272
 Trinidad and Tobago,265
 Cayman Islands (UK),254
 Kuwait,248
 Jamaica,248
 Guadeloupe (France),243
 Liechtenstein,240
 Luxembourg,237
 Qatar,237
 Antigua and Barbuda,235
 Germany,233
 Nigeria,218
 Dominican Republic,216
 Seychelles,213
 British Virgin Islands (UK),213
 North Korea,211
 Saint Kitts and Nevis,209
 Gambia,208
  Switzerland,208
 São Tomé and Príncipe,202
   Nepal,201
 Italy,200
 Uganda,166
 Kosovo[note 2],165
 Andorra,164
 Guatemala,162
 Kiribati,154
 Sint Eustatius (Netherlands),152
 Federated States of Micronesia,151
 Saba (Netherlands),150
 Cyprus,149
 Malawi,148
 Isle of Man (Crown dependency),146
 China,145
 Indonesia,141
 Tokelau (NZ),140
 Anguilla (UK),140
 Tonga,139
 Cape Verde,136
 Czech Republic,135
 Denmark,135
 Togo,133
 Thailand,130
 Ghana,127
 Northern Mariana Islands (US),124
 France,123
 Poland,123
 Jordan,119
 United Arab Emirates,117
 Azerbaijan,116
 Transnistria,113
 Portugal,112
 Slovakia,111
 Sierra Leone,110
 Austria,106
 Turkey,106
 Northern Cyprus[note 3],105
 Hungary,105
 Benin,104
 Slovenia,103
 Cuba,102
 Ethiopia,101
 Egypt,100
 Albania,100
 Malaysia,99
 Costa Rica,99
 Armenia,99
 Dominica,97
 Spain,93
 Syria,92
 Cambodia,90
 Iraq,90
 Serbia,89
 Kenya,82
 Senegal,82
 Wallis & Futuna (France),82
 Honduras,81
 Romania,81
 Greece,81
 North Macedonia,81
 Myanmar,80
 Ivory Coast,80
 Morocco,80
 French Polynesia (France),80
 Moldova,79
 Timor-Leste,78
 Turks and Caicos Islands (UK),76
 Lesotho,75
 Burkina Faso,75
 Uzbekistan,73
 Brunei,73
 Croatia,72
 Tunisia,72
 Samoa,70
 Ireland,70
 Ukraine [note 4],69
 Bosnia and Herzegovina,69
 Eswatini (Swaziland),67
 Bonaire (Netherlands),66
 Yemen,64
 Cook Islands (NZ),64
 Mexico,64
 Tajikistan,64
 Bulgaria,63
 Ecuador,63
 Tanzania,59
 Panama,56
 Georgia,54
 Nicaragua,53
 Cameroon,52
 Iran,51
 Norfolk Island (Australia),50
 Guinea,50
 Afghanistan,49
 Montserrat (UK),48
 Fiji,48
 South Africa,48
 Equatorial Guinea,48
 Djibouti,47
 Belarus,46
 Liberia,46
 Montenegro,45
 Madagascar,44
 Guinea-Bissau,44
 Lithuania,43
 Colombia,40
 Palau,40
 Cocos (Keeling) Islands (Australia),39
 Zimbabwe,39
 Democratic Republic of the Congo,37
 Mozambique,36
 Venezuela,35
 Faroe Islands (Denmark),34
USA,34
 Kyrgyzstan,32
 Latvia,30
 Estonia,29
 Eritrea,29
 Bahamas,28
 Abkhazia,28
 Laos,27
 Saint Pierre and Miquelon (France),25
 Peru,25
 Vanuatu,25
 Brazil,25
 Somalia,24
 Solomon Islands,24
 Angola,23
 Chile,23
 Sweden,23
 Zambia,22
 Sudan,22
 Bhutan,21
 Uruguay,20
 South Sudan,20
 Somaliland,20
 Åland Islands (Finland),19
 Niger,19
 Papua New Guinea,19
 New Zealand,18
 Algeria,18
 Paraguay,17
 Belize,17
 Norway,17
 Finland,16
 Argentina,16
 Saudi Arabia,16
 Republic of the Congo,16
 Mali,15
 Christmas Island (Australia),15
 New Caledonia (France),14
 Oman,14
 Saint Helena,14
 South Ossetia,14
 Artsakh,13
 Turkmenistan,12
 Chad,12
 Bolivia,10
 Russia[note 6],9
 Gabon,8
 Central African Republic,8
 Kazakhstan,7
 Niue (NZ),6
 Botswana,4
 Mauritania,4
 Canada,4
 Libya,3.7
 Guyana,3.6
 Suriname,3.5
 Iceland,3.5
 Australia,3
 Namibia,2.9
 French Guiana (France),2.8
  Western Sahara[note 7],2.3
 Mongolia,1.9
 Pitcairn Islands (UK),1.2
 Falkland Islands (UK)[note 8],0.21
 Svalbard and Jan Mayen (Norway),0.04
 Greenland (Denmark),0.03
