Name,Tourists
Albania,4642625
Algeria,2451
Angola,261
Argentina,6710.38993353822
Armenia,1494779
Australia,8815.3
Austria,29460.335
Azerbaijan,2454
Bahrain,4372
Bangladesh,125
Barbados,n/a
Belgium,8358.06
Benin,281
Bhutan,n/a
Bolivia,1134
Bosnia and Herzegovina,922423
Botswana,1574
Brazil,6588.77
Brunei Darussalam,258.955
Bulgaria,8883
Burkina Faso,143
Burundi,299
Cambodia,5602.156
Cameroon,812
Canada,20794.064
Cape Verde,667.693
Chad,87
Chile,6449.883
China,60740
Colombia,4026.937
DRC,351
Costa Rica,2959.869
Côte d'Ivoire,1800
Croatia,15592.899
Cyprus,3652.073
Czech Republic,12808
Denmark,11743
Dominican Republic,6187.542
Ecuador,1608473
Egypt,8156.58
El Salvador,1556.06884983691
Estonia,3244.903
Ethiopia,933
Finland,3180.662
France,86917.7
Gabon,n/a
The Gambia,162
Georgia,4069.354
Germany,37451.508
Ghana,971.861
Greece,27194.183
Guatemala,1659597
Guinea,60
Guyana,n/a
Haiti,467.038
Honduras,851.047
Hong Kong SAR,27884.543
Hungary,15785
Iceland,2224.074
India,15542.854
Indonesia,12948
Iran,4867
Ireland,10338
Israel,3613.158
Italy,58253.0300807852
Jamaica,2352915
Japan,28691073
Jordan,3843.53272630278
Kazakhstan,4559.5
Kenya,1363864
S. Korea,13335758
Kuwait,203
Kyrgyz Republic,4568
Lao PDR,3256.846
Latvia,1949.5
Lebanon,1856.795
Lesotho,320
Liberia,n/a
Lithuania,2523.3
Luxembourg,1045883
North Macedonia,630.594
Madagascar,n/a
Malawi,837
Malaysia,25948.459
Mali,193
Malta,2273.83744463463
Mauritania,30
Mauritius,1341.86
Mexico,39290.943
Moldova,145.165
Mongolia,469.309
Montenegro,1877212
Morocco,11349.344
Mozambique,1447
Myanmar,n/a
Namibia,1499
Nepal,940.218
Netherlands,17924
New Zealand,3555
Nicaragua,1787.26
Nigeria,1889
Norway,6252
Oman,2372
Pakistan,965.498
Panama,1843.266
Paraguay,1559.783
Peru,4032.339
Philippines,6620.908
Poland,18258
Portugal,21200
Puerto Rico,n/a
Qatar,2256.49
Romania,2760.08
Russian Federation,24390
Rwanda,932
Saudi Arabia,16108.9676966401
Senegal,1365
Serbia,1497173
Seychelles,349.861
Sierra Leone,53.713
Singapore,13907.549
Slovak Republic,7620
Slovenia,3586038
South Africa,10285197
Spain,81868.522
Sri Lanka,2116.407
Suriname,n/a
Eswatini,921
Sweden,6864.996
Switzerland,11133
Taiwan,10739.601
Tajikistan,430.932
Tanzania,1275
Thailand,35482.544
Trinidad and Tobago,394.65
Tunisia,7051.813
Turkey,37602.963
Uganda,1402.409
Ukraine,14229642
United Arab Emirates,15790
UK,37650.9672819999
USA,76941.365
Uruguay,3674.06000329015
Venezuela,427
Vietnam,12922151
Yemen,366.7
Zambia,1083
Zimbabwe,2423
